20241223 030100;21674.5;21676.5;21671.25;21675.25;281
20241223 030200;21675.25;21675.25;21661.75;21662.25;407
20241223 030300;21662.75;21666.75;21662;21665;289
20241223 030400;21665.75;21667.5;21665;21665;136
20241223 030500;21665;21670.25;21663.5;21669;233
20241223 030600;21668.5;21674.25;21666.25;21667.5;346
20241223 030700;21666.75;21668.25;21664;21666.75;232
20241223 030800;21666.75;21672;21666.25;21667.25;238
20241223 030900;21667.5;21668.25;21665.5;21667.5;106
20241223 031000;21667.75;21668.75;21662.25;21664;207
20241223 031100;21664.5;21669.5;21664.25;21668.25;147
20241223 031200;21668.75;21668.75;21660.25;21664.75;228
20241223 031300;21664.5;21666.25;21661.75;21665.75;111
20241223 031400;21665.25;21671.75;21664.75;21669;215
20241223 031500;21668.75;21669.75;21666.75;21666.75;75
20241223 031600;21667;21672.75;21667;21671;257
20241223 031700;21670.75;21673;21670.5;21673;142
20241223 031800;21673;21673.75;21669.5;21670.5;131
20241223 031900;21670.5;21671.75;21666;21668;192
20241223 032000;21667.25;21670.25;21664.25;21664.25;125
20241223 032100;21664;21667;21662.5;21664.25;177
20241223 032200;21663.5;21665;21661.75;21663.25;194
20241223 032300;21663;21665.25;21660.25;21662.75;231
20241223 032400;21663;21666.75;21662.75;21664.5;176
20241223 032500;21664.5;21664.5;21657.25;21660.75;337
20241223 032600;21660.5;21664;21658;21663.25;217
20241223 032700;21663;21667.75;21662.75;21665.75;243
20241223 032800;21665.5;21667;21664.5;21666.25;74
20241223 032900;21667;21670;21666.5;21667.75;112
20241223 033000;21667.75;21668.25;21660;21661.25;299
20241223 033100;21660.75;21661;21657.25;21660.75;232
20241223 033200;21660.5;21663.75;21659.5;21659.75;158
20241223 033300;21660.5;21661.75;21659.75;21660.75;82
20241223 033400;21661.25;21665.25;21661;21665;138
20241223 033500;21664.5;21664.75;21660.5;21664.25;113
20241223 033600;21664.25;21664.25;21661.25;21663;100
20241223 033700;21663;21665;21659.5;21660.5;124
20241223 033800;21660.5;21662.5;21660.5;21662.25;51
20241223 033900;21662.5;21665.75;21662.5;21665.5;163
20241223 034000;21665.5;21668.5;21663.75;21667;168
20241223 034100;21666.75;21674.75;21666.75;21673.5;345
20241223 034200;21673.25;21674.75;21671.25;21672;265
20241223 034300;21672;21672.75;21669.5;21669.5;144
20241223 034400;21669.25;21672.25;21667.5;21670.25;121
20241223 034500;21670.5;21670.5;21667;21669;91
20241223 034600;21668.75;21672.5;21667.5;21672.5;131
20241223 034700;21672;21675;21670.5;21674.75;229
20241223 034800;21675;21680;21674.25;21675.75;478
20241223 034900;21675.5;21684.25;21674;21684.25;487
20241223 035000;21683.75;21685.25;21679.75;21680.75;418
20241223 035100;21680.25;21684.25;21679.75;21682;231
20241223 035200;21682;21682.75;21675.5;21678.75;352
20241223 035300;21679;21679.5;21676.25;21678.75;137
20241223 035400;21679;21679;21676.75;21678;103
20241223 035500;21678;21682.25;21678;21682.25;188
20241223 035600;21681.25;21681.5;21678.5;21678.75;131
20241223 035700;21679;21681.25;21671.75;21673.25;263
20241223 035800;21672.75;21673;21671.25;21673;214
20241223 035900;21672.5;21674;21669;21671.75;204
20241223 040000;21671.75;21674.75;21669;21674;144
20241223 040100;21673.5;21680;21673.25;21679.75;383
20241223 040200;21678.75;21679.5;21675.75;21678;175
20241223 040300;21678.25;21678.25;21674;21676.25;171
20241223 040400;21676.5;21679.5;21675.5;21676;126
20241223 040500;21675.75;21676.25;21672.75;21675.5;121
20241223 040600;21675.75;21678;21675;21677.25;137
20241223 040700;21677.25;21681.5;21677;21680.5;201
20241223 040800;21680.5;21681.75;21679;21679.5;136
20241223 040900;21679;21680.5;21677.75;21679;101
20241223 041000;21678.75;21681.75;21678.5;21680;95
20241223 041100;21680.25;21683.5;21680.25;21681.5;250
20241223 041200;21681.5;21685;21681.25;21683.25;214
20241223 041300;21683.5;21684.75;21682.25;21682.75;100
20241223 041400;21682.25;21683.5;21681.5;21682.5;88
20241223 041500;21682.5;21682.5;21681;21681.25;63
20241223 041600;21681.5;21683.75;21680.5;21683.25;86
20241223 041700;21683.25;21684.25;21682.5;21683;50
20241223 041800;21683;21685.75;21682.25;21684;140
20241223 041900;21683.5;21684;21681.25;21682;122
20241223 042000;21682.5;21686.5;21682.5;21683;384
20241223 042100;21683;21685.75;21682.25;21685.75;162
20241223 042200;21685.5;21687.25;21684.25;21685.75;212
20241223 042300;21685.25;21685.75;21682.5;21684.25;170
20241223 042400;21684.5;21686.25;21683.25;21686;104
20241223 042500;21686;21688.25;21684.25;21686;166
20241223 042600;21686;21686;21682;21684.75;146
20241223 042700;21684.75;21692;21684;21688;430
20241223 042800;21687.75;21688.5;21685.25;21686.5;171
20241223 042900;21686.5;21690;21685.75;21688.75;187
20241223 043000;21688.25;21690.5;21687.75;21690;131
20241223 043100;21689.25;21690.5;21687.25;21689;121
20241223 043200;21689.25;21692;21686.25;21688.5;189
20241223 043300;21688.25;21689.75;21686.75;21687.25;145
20241223 043400;21687;21692;21686.75;21689.5;220
20241223 043500;21689.75;21691.25;21688.75;21689.75;65
20241223 043600;21690.25;21693;21688;21692.5;225
20241223 043700;21692.5;21697;21690.75;21695.25;475
20241223 043800;21695;21701.25;21695;21698.75;718
20241223 043900;21699;21704.25;21699;21701.25;460
20241223 044000;21701.25;21702.75;21696.25;21699.75;294
20241223 044100;21699.75;21699.75;21696.5;21698.5;200
20241223 044200;21698.75;21699;21695.25;21696;171
20241223 044300;21696.5;21697.5;21695.25;21697;110
20241223 044400;21697.25;21700.5;21696;21696;284
20241223 044500;21695.75;21700.25;21694;21699.25;231
20241223 044600;21699.75;21702.25;21699;21701;235
20241223 044700;21701;21702.5;21700.25;21701.5;121
20241223 044800;21702;21702;21696;21697.75;159
20241223 044900;21698;21698.75;21696.5;21698;292
20241223 045000;21697.75;21698.75;21696.5;21698.75;84
20241223 045100;21699.25;21699.5;21696;21699;81
20241223 045200;21699.25;21701.25;21698;21701.25;98
20241223 045300;21701;21704;21700.75;21702.25;274
20241223 045400;21702.75;21707;21701.25;21706.25;323
20241223 045500;21706.25;21708.5;21705.5;21707.25;248
20241223 045600;21707.25;21708.75;21706.5;21707.5;153
20241223 045700;21707.5;21708;21702.25;21703.25;256
20241223 045800;21703;21707.75;21703;21704.5;200
20241223 045900;21704.75;21705.75;21703.5;21705.75;73
20241223 050000;21706;21707;21704.75;21705.25;104
20241223 050100;21705.5;21707.25;21704.5;21706.75;154
20241223 050200;21706.75;21708.75;21705.75;21706;225
20241223 050300;21706;21709;21704.25;21706.5;162
20241223 050400;21706;21707.75;21706;21707;112
20241223 050500;21707;21711.75;21706.25;21710;338
20241223 050600;21710;21713.5;21709.5;21712.75;270
20241223 050700;21712.5;21714.75;21710.25;21711.5;214
20241223 050800;21711.5;21712.75;21710.5;21712.5;115
20241223 050900;21712.75;21713.5;21710;21713;188
20241223 051000;21713.25;21714;21710.75;21711.25;108
20241223 051100;21711.5;21713.25;21710.75;21712.5;135
20241223 051200;21712.5;21713.5;21710.25;21710.75;117
20241223 051300;21711;21711.75;21708.25;21709.75;205
20241223 051400;21709.75;21709.75;21701.25;21702.5;440
20241223 051500;21703;21705;21701.75;21704.75;156
20241223 051600;21704.25;21705.5;21701.25;21702.5;179
20241223 051700;21701.75;21703.75;21701;21702.5;158
20241223 051800;21702.75;21704;21700.75;21702.25;176
20241223 051900;21702.25;21703;21697.75;21698.75;423
20241223 052000;21698.75;21704.25;21698.75;21703.5;199
20241223 052100;21704;21708.5;21703.75;21708.25;307
20241223 052200;21707.75;21708.5;21704.25;21705.25;156
20241223 052300;21705.25;21705.75;21700.75;21703;169
20241223 052400;21702.75;21703.75;21702.5;21703.5;47
20241223 052500;21704;21706.25;21703;21704.25;136
20241223 052600;21703.75;21704.75;21700.5;21701.25;124
20241223 052700;21701.25;21703.25;21699.5;21703.25;253
20241223 052800;21703;21707;21703;21706.5;139
20241223 052900;21705.75;21721;21704.75;21718.25;946
20241223 053000;21718;21724.25;21717;21721.25;1077
20241223 053100;21721.5;21723.5;21717.5;21721.5;420
20241223 053200;21721.25;21723.75;21720.5;21722.75;174
20241223 053300;21723;21723.5;21719.75;21721.75;271
20241223 053400;21721.75;21727.5;21721.5;21726.5;414
