path,filename,size_bytes,modified_time,sha256,instrument,contract,contract_full,n_rows,first_timestamp,last_timestamp
C:\Users\heguu\OneDrive\Escritorio\neural_profit\data\00_source\00_mnq_03_20.Last.txt,00_mnq_03_20.Last.txt,3957944,2025-10-02T22:24:36.831000,6e006d56b25f20ffce76cff71dd765de81865987e5a5cd9a867f75c65756c7c3,MNQ,H20,MNQH20,81660,2019-12-23T03:01:00,2020-03-20T13:30:00
C:\Users\heguu\OneDrive\Escritorio\neural_profit\data\00_source\01_mnq_06_20.Last.txt,01_mnq_06_20.Last.txt,4205611,2025-10-02T22:24:37.143000,f7c77cb3e8d07c5764d5e0428036867de4bc2fbb5492d41a26921e4b45e3eaf3,MNQ,M20,MNQM20,86069,2020-03-23T03:01:00,2020-06-19T13:30:00
C:\Users\heguu\OneDrive\Escritorio\neural_profit\data\00_source\02_mnq_09_20.Last.txt,02_mnq_09_20.Last.txt,4591844,2025-10-02T22:24:37.223000,caf4266bca6794c732433f20b63d24f02c6e49081aeb7f9ab4b1517b64b3d6d8,MNQ,U20,MNQU20,87482,2020-06-22T03:01:00,2020-09-18T13:30:00
C:\Users\heguu\OneDrive\Escritorio\neural_profit\data\00_source\03_mnq_12_20.Last.txt,03_mnq_12_20.Last.txt,4589110,2025-10-02T22:24:37.248000,6bd51e2b5515731f37f0ddd37149c42cfe1ba47ea8b651a1d2293559a9a88f32,MNQ,Z20,MNQZ20,86824,2020-09-21T03:01:00,2020-12-18T03:00:00
C:\Users\heguu\OneDrive\Escritorio\neural_profit\data\00_source\04_mnq_03_21.Last.txt,04_mnq_03_21.Last.txt,4471087,2025-10-02T22:24:37.278000,d52516d2e9100acfc626415f36a90f479a6e7f5e4d0a5a474823146d45f54827,MNQ,H21,MNQH21,84599,2020-12-21T03:01:00,2021-03-19T13:30:00
C:\Users\heguu\OneDrive\Escritorio\neural_profit\data\00_source\05_mnq_06_21.Last.txt,05_mnq_06_21.Last.txt,4600068,2025-10-02T22:24:37.302000,05ebe4375249796377b0def08bd4628c3e0f72ec37d93645a4f9d766885eb6ae,MNQ,M21,MNQM21,87090,2021-03-22T03:01:00,2021-06-18T13:30:00
C:\Users\heguu\OneDrive\Escritorio\neural_profit\data\00_source\06_mnq_09_21.Last.txt,06_mnq_09_21.Last.txt,4644033,2025-10-02T22:24:37.336000,3b2b85e5e56104a6655d235ee5545984a7159cb4e52193794d81bea2baf787b3,MNQ,U21,MNQU21,88205,2021-06-21T03:01:00,2021-09-17T13:30:00
C:\Users\heguu\OneDrive\Escritorio\neural_profit\data\00_source\07_mnq_12_21.Last.txt,07_mnq_12_21.Last.txt,4674936,2025-10-02T22:24:37.366000,eda66142679582f2af184067ba651f0033d002b124acfeebd46b3133eb480e41,MNQ,Z21,MNQZ21,88318,2021-09-20T03:01:00,2021-12-17T14:30:00
C:\Users\heguu\OneDrive\Escritorio\neural_profit\data\00_source\08_mnq_03_22.Last.txt,08_mnq_03_22.Last.txt,4620304,2025-10-02T22:24:37.390000,f1c862e5b9d4745ec5b5a32f2916ae0b0e084079d2de10779ece1c24ab8a79ba,MNQ,H22,MNQH22,87112,2021-12-20T03:01:00,2022-03-18T13:30:00
C:\Users\heguu\OneDrive\Escritorio\neural_profit\data\00_source\09_mnq_06_22.Last.txt,09_mnq_06_22.Last.txt,4632495,2025-10-02T22:24:37.419000,7a428a7a9985defd835e60281dab66b4e16278f62f464e72527174a09b0f3d06,MNQ,M22,MNQM22,87336,2022-03-21T03:01:00,2022-06-17T13:30:00
C:\Users\heguu\OneDrive\Escritorio\neural_profit\data\00_source\10_mnq_09_22.Last.txt,10_mnq_09_22.Last.txt,4674863,2026-01-24T20:59:54.134000,5330cda7d2f93620265453079b4da2f68b7eeffec3d798fa75c13b64e33b76df,MNQ,U22,MNQU22,88207,2022-06-20T03:01:00,2022-09-16T13:55:00
C:\Users\heguu\OneDrive\Escritorio\neural_profit\data\00_source\11_mnq_12_22.Last.txt,11_mnq_12_22.Last.txt,4657755,2026-01-24T20:59:53.829000,0bef507cfbc4a81da3da2cd4a0f3a421c045c73d2fbf55c4f5a9792c6d630189,MNQ,Z22,MNQZ22,87830,2022-09-19T03:01:00,2022-12-16T14:30:00
