date,weekday,cme_declared_close_time
2020-02-17,Monday,13:00
2020-05-25,Monday,13:00
2020-07-03,Friday,13:00
2020-09-07,Monday,13:00
2020-11-26,Thursday,13:00
2021-01-18,Monday,13:00
2021-02-15,Monday,13:00
2021-05-31,Monday,13:00
2021-07-05,Monday,13:00
2021-09-06,Monday,13:00
2021-11-25,Thursday,13:00
2022-01-17,Monday,13:00
2022-05-30,Monday,13:00
2022-06-20,Monday,13:00
2022-07-04,Monday,13:00
2022-09-05,Monday,13:00
2022-11-24,Thursday,13:00
2023-01-16,Monday,13:00
2023-05-29,Monday,13:00
2023-06-19,Monday,13:00
2023-07-04,Tuesday,13:00
2023-09-04,Monday,13:00
2023-11-23,Thursday,13:00
2024-01-15,Monday,13:00
2024-02-19,Monday,13:00
2024-05-27,Monday,13:00
2024-06-19,Wednesday,13:00
2024-07-04,Thursday,13:00
2024-11-28,Thursday,13:00
2025-01-20,Monday,13:00
2025-02-17,Monday,13:00
2025-05-26,Monday,13:00
2025-07-04,Friday,13:00
2025-09-01,Monday,13:00
2025-11-27,Thursday,13:00
2026-01-19,Monday,13:00
2026-02-16,Monday,13:00
2026-05-25,Monday,13:00
2026-06-19,Friday,13:00
2026-07-03,Friday,13:00
