transition_n,outgoing,incoming,n_shared_dates,clean_handoff,confirmed_by_volume,signal_date
1,H20,M20,0,True,False,
2,M20,U20,0,True,False,
3,U20,Z20,0,True,False,
4,Z20,H21,0,True,False,
5,H21,M21,0,True,False,
6,M21,U21,0,True,False,
7,U21,Z21,0,True,False,
8,Z21,H22,0,True,False,
9,H22,M22,0,True,False,
10,M22,U22,0,True,False,
11,U22,Z22,0,True,False,
12,Z22,H23,0,True,False,
13,H23,M23,0,True,False,
14,M23,U23,0,True,False,
15,U23,Z23,0,True,False,
16,Z23,H24,0,True,False,
17,H24,M24,0,True,False,
18,M24,U24,0,True,False,
19,U24,Z24,0,True,False,
20,Z24,H25,7,False,True,2024-12-17
21,H25,M25,7,False,True,2025-03-18
22,M25,U25,0,True,False,
23,U25,Z25,0,True,False,
24,Z25,H26,0,True,False,
25,H26,M26,0,True,False,
26,M26,U26,9,False,True,2026-06-15
